StudyHours,Attendance,PreviousScore,SleepHours,Result
4.8,35,42,8.7,Fail
4.9,91,86,4.4,Pass
4.8,97,27,6.4,Fail
5.1,99,80,4.4,Pass
2.9,80,76,6.7,Fail
5.0,38,95,6.2,Pass
2.5,73,48,3.5,Fail
4.7,34,55,3.4,Fail
5.6,71,41,8.4,Fail
3.7,61,51,7.6,Fail
4.2,99,83,4.5,Pass
5.5,83,25,8.0,Fail
1.9,77,52,8.5,Fail
4.6,36,38,8.9,Fail
3.6,89,53,5.9,Fail
5.4,34,89,8.0,Pass
5.1,83,50,4.6,Fail
1.6,95,39,4.6,Fail
3.3,60,81,7.1,Fail
4.9,73,69,5.4,Pass
4.8,95,49,7.1,Fail
4.9,34,22,6.3,Fail
1.0,37,78,6.3,Fail
4.8,35,27,6.4,Fail
5.0,53,37,6.1,Fail
5.8,68,30,3.4,Fail
2.7,79,50,7.3,Fail
3.1,75,39,3.0,Fail
2.8,73,83,7.0,Fail
4.8,55,90,4.0,Pass
5.2,61,82,3.1,Pass
3.7,94,64,6.2,Pass
3.3,79,47,4.6,Fail
5.2,82,79,3.7,Pass
1.1,49,23,6.7,Fail
1.4,39,60,7.5,Fail
3.4,94,60,6.8,Fail
5.9,81,45,6.5,Fail
3.9,77,89,4.0,Pass
4.0,40,34,4.9,Fail
2.8,44,46,7.6,Fail
1.7,36,46,4.4,Fail
5.2,76,76,6.7,Pass
3.5,68,68,8.6,Fail
2.5,49,86,5.5,Fail
2.6,40,54,5.6,Fail
5.8,71,62,8.9,Pass
4.0,76,54,5.4,Fail
3.6,99,94,8.6,Pass
5.2,67,77,4.3,Pass
2.4,50,88,8.2,Fail
4.4,30,66,8.0,Fail
4.4,33,55,4.9,Fail
4.0,80,44,5.2,Fail
3.8,60,90,5.9,Fail
3.4,92,43,5.6,Fail
5.2,63,99,5.8,Pass
1.6,80,100,3.2,Fail
1.6,41,31,7.2,Fail
2.7,68,48,7.8,Fail
2.5,60,46,5.7,Fail
5.5,72,82,6.0,Pass
1.6,69,91,4.1,Fail
3.9,59,44,5.8,Fail
3.1,58,49,6.1,Fail
5.2,59,24,8.1,Fail
1.5,38,22,7.3,Fail
5.1,43,36,6.4,Fail
2.6,65,31,8.9,Fail
2.8,55,79,4.4,Fail
4.0,97,36,8.8,Fail
4.7,51,67,7.7,Fail
5.5,44,31,3.5,Fail
1.8,90,47,8.9,Fail
3.0,57,24,3.9,Fail
3.0,97,46,3.2,Fail
5.6,51,87,4.0,Pass
3.8,50,60,8.8,Fail
4.1,98,66,8.2,Pass
4.0,56,78,7.0,Pass
3.6,90,32,6.0,Fail
1.7,51,69,8.7,Fail
2.7,30,93,4.2,Fail
1.1,51,46,6.5,Fail
1.1,92,78,4.2,Fail
1.2,58,94,4.6,Fail
4.1,96,57,3.5,Fail
5.8,88,20,8.5,Fail
5.2,56,26,3.9,Fail
3.1,30,77,6.3,Fail
1.0,71,70,6.7,Fail
3.3,72,39,8.3,Fail
5.8,45,50,7.2,Fail
4.5,41,65,5.3,Fail
1.6,91,69,7.9,Fail
2.6,48,80,8.1,Fail
3.7,58,30,4.3,Fail
4.5,91,58,8.7,Fail
4.6,74,81,6.2,Pass
5.1,70,76,4.1,Pass
1.2,71,48,6.2,Fail
4.5,41,38,4.9,Fail
2.5,66,28,7.5,Fail
5.9,74,60,5.7,Pass
1.2,76,79,8.9,Fail
4.2,47,60,4.4,Fail
5.3,54,89,7.0,Pass
3.4,97,75,7.5,Fail
2.4,35,32,8.4,Fail
1.5,44,41,4.0,Fail
3.2,83,51,8.4,Fail
2.5,37,88,6.6,Fail
1.2,69,50,7.7,Fail
5.7,68,42,6.7,Fail
5.2,83,56,4.9,Fail
3.2,71,24,8.2,Fail
4.3,55,33,3.7,Fail
4.5,65,72,5.6,Fail
1.1,47,42,6.2,Fail
4.5,89,76,7.1,Pass
4.6,67,32,7.2,Fail
2.6,77,94,3.0,Fail
5.1,31,24,4.2,Fail
4.3,97,97,6.2,Pass
1.8,55,67,8.6,Fail
3.3,52,25,4.1,Fail
4.8,89,56,7.9,Fail
4.6,70,66,7.2,Pass
3.9,41,72,8.4,Fail
2.3,62,31,6.3,Fail
3.2,31,96,5.6,Fail
2.4,76,60,4.1,Fail
1.0,65,24,8.6,Fail
5.0,48,34,3.1,Fail
1.3,50,63,7.6,Fail
1.4,42,46,6.9,Fail
1.0,34,32,8.3,Fail
3.8,100,59,4.0,Fail
4.8,80,51,5.8,Fail
4.7,31,99,4.8,Pass
5.1,67,57,7.0,Fail
2.9,89,97,7.1,Fail
6.0,69,41,4.5,Fail
5.5,66,52,6.4,Fail
3.9,50,26,7.2,Fail
2.0,90,92,6.7,Fail
1.3,85,87,4.6,Fail
2.6,59,86,6.1,Fail
3.4,73,70,8.0,Fail
5.9,32,30,8.4,Fail
2.5,81,51,7.2,Fail
5.5,61,43,5.6,Fail
2.6,56,35,6.7,Fail
5.8,65,29,7.6,Fail
3.8,42,65,7.2,Fail
1.1,54,21,4.9,Fail
1.2,78,28,7.1,Fail
4.4,44,63,3.8,Fail
4.3,50,91,5.8,Pass
2.3,61,91,8.9,Fail
1.7,65,61,5.1,Fail
1.5,44,23,7.0,Fail
2.5,84,83,4.4,Fail
5.9,74,31,7.0,Fail
3.6,93,90,7.7,Pass
1.9,36,49,8.8,Fail
4.9,61,50,5.1,Fail
1.2,84,40,3.0,Fail
1.2,63,37,7.6,Fail
1.4,44,65,4.4,Fail
4.3,50,84,8.9,Pass
4.7,37,70,5.6,Fail
2.2,37,28,5.8,Fail
1.5,85,26,3.4,Fail
1.7,47,26,9.0,Fail
4.8,32,57,5.3,Fail
3.1,85,97,7.3,Fail
5.5,100,99,3.3,Pass
2.0,61,57,5.7,Fail
2.4,37,86,4.3,Fail
1.0,52,61,7.5,Fail
2.0,97,34,8.0,Fail
3.9,66,25,7.3,Fail
5.2,92,95,9.0,Pass
5.6,78,73,3.4,Pass
4.4,94,29,4.7,Fail
1.5,95,22,7.0,Fail
3.8,92,20,6.3,Fail
3.9,76,63,7.8,Pass
3.3,94,84,8.9,Fail
1.1,55,77,6.4,Fail
1.5,31,67,3.2,Fail
4.6,32,43,4.5,Fail
5.0,66,95,4.0,Pass
4.3,84,85,7.2,Pass
3.2,61,37,3.3,Fail
1.8,45,23,5.0,Fail
3.2,43,41,6.1,Fail
4.6,96,82,3.9,Pass
4.8,58,34,3.1,Fail
4.7,42,63,6.3,Fail
4.9,36,96,4.8,Pass
1.8,84,45,5.2,Fail
4.8,82,81,3.2,Pass
4.1,64,48,8.7,Fail
2.6,69,68,7.6,Fail
1.9,90,35,5.5,Fail
4.6,39,22,6.5,Fail
2.8,49,78,7.5,Fail
3.1,79,35,6.2,Fail
2.4,37,58,5.3,Fail
2.8,97,79,6.1,Fail
3.8,81,37,4.2,Fail
4.5,95,47,5.6,Fail
2.4,50,37,7.6,Fail
3.1,61,79,4.3,Fail
4.2,41,34,6.4,Fail
1.9,64,51,6.5,Fail
4.0,50,90,8.9,Pass
4.5,54,84,5.6,Pass
3.1,96,46,8.6,Fail
4.9,61,54,7.7,Fail
2.8,66,62,6.5,Fail
1.6,90,75,4.6,Fail
4.6,42,85,8.2,Pass
5.3,33,55,8.9,Fail
3.3,89,67,7.8,Fail
4.5,70,97,5.4,Pass
3.1,93,97,8.5,Fail
5.7,93,33,5.4,Fail
3.3,43,30,6.6,Fail
5.9,69,95,6.5,Pass
2.6,62,52,3.7,Fail
6.0,65,88,5.9,Pass
5.2,62,64,7.3,Fail
3.2,55,95,5.4,Fail
4.7,65,59,3.3,Fail
5.7,41,82,7.9,Pass
4.0,86,43,4.3,Fail
4.6,36,26,3.0,Fail
3.6,87,38,5.7,Fail
5.7,82,74,7.7,Pass
3.2,74,33,7.4,Fail
5.5,76,30,3.2,Fail
4.6,48,77,6.1,Pass
1.5,48,76,3.6,Fail
2.5,47,42,8.3,Fail
3.2,89,95,8.1,Fail
1.4,90,79,3.3,Fail
1.4,78,39,8.4,Fail
4.1,59,43,4.6,Fail
5.8,53,81,4.4,Pass
3.6,61,72,8.8,Fail
2.7,33,23,8.4,Fail
4.5,44,46,7.5,Fail
2.9,91,34,4.4,Fail
4.2,45,49,5.4,Fail
4.7,36,52,6.8,Fail
3.4,79,78,4.6,Fail
3.5,79,79,7.0,Pass
2.0,50,22,6.1,Fail
3.8,34,100,7.5,Fail
2.9,58,31,4.1,Fail
3.1,94,67,7.3,Fail
3.1,75,40,7.6,Fail
4.5,49,56,8.5,Fail
5.2,80,94,3.6,Pass
5.7,90,40,7.3,Fail
5.3,48,56,3.6,Fail
3.7,71,33,6.2,Fail
4.2,37,71,5.8,Fail
2.0,39,44,8.5,Fail
3.7,89,77,6.5,Pass
2.1,94,51,8.1,Fail
1.7,78,58,7.9,Fail
3.8,39,61,7.0,Fail
1.3,75,88,5.6,Fail
2.5,31,45,7.3,Fail
1.4,35,68,8.9,Fail
1.6,87,56,8.6,Fail
1.4,52,54,4.4,Fail
3.4,64,26,8.5,Fail
6.0,64,52,7.4,Fail
5.1,38,86,4.4,Pass
3.7,93,53,5.5,Fail
2.4,66,69,4.7,Fail
1.5,31,50,6.5,Fail
1.1,75,71,5.1,Fail
3.3,40,32,3.8,Fail
3.6,49,52,4.2,Fail
1.7,82,27,4.1,Fail
3.6,98,88,6.0,Pass
3.5,41,59,3.0,Fail
1.3,46,20,5.4,Fail
1.3,98,53,7.3,Fail
3.2,55,37,6.0,Fail
2.9,79,83,7.9,Fail
1.9,75,47,6.7,Fail
1.2,36,60,8.0,Fail
5.1,61,91,8.9,Pass
4.1,79,61,7.9,Pass
4.3,51,52,6.2,Fail
1.5,42,34,6.5,Fail
5.9,86,96,8.5,Pass
2.2,48,98,3.4,Fail
2.0,90,39,5.5,Fail
3.8,38,68,9.0,Fail
4.1,62,28,4.9,Fail
3.7,30,67,7.2,Fail
4.3,94,21,5.4,Fail
1.8,62,57,6.3,Fail
4.8,88,39,6.9,Fail
1.1,82,52,5.8,Fail
1.8,67,52,6.5,Fail
5.8,93,38,6.0,Fail
4.1,41,100,8.0,Pass
3.1,42,76,7.5,Fail
3.6,76,30,3.8,Fail
4.9,53,94,6.4,Pass
1.1,44,56,6.3,Fail
1.6,49,33,4.0,Fail
4.7,96,79,4.2,Pass
3.9,39,50,6.6,Fail
4.5,45,33,7.8,Fail
1.1,90,30,7.2,Fail
4.5,63,71,8.3,Fail
2.2,64,47,4.6,Fail
1.7,50,23,7.5,Fail
3.3,32,35,5.7,Fail
1.7,43,62,3.1,Fail
1.5,99,91,5.1,Fail
4.0,93,62,9.0,Pass
5.1,48,77,7.4,Pass
5.2,51,95,4.5,Pass
2.2,47,51,7.2,Fail
4.3,80,41,4.1,Fail
1.8,78,36,5.9,Fail
2.5,55,91,7.6,Fail
1.2,55,82,5.3,Fail
3.9,64,35,7.2,Fail
1.4,60,74,7.6,Fail
2.5,88,68,6.0,Fail
2.1,66,91,6.7,Fail
4.2,64,42,3.1,Fail
5.6,77,89,7.0,Pass
2.8,30,46,5.5,Fail
5.1,82,65,8.8,Pass
3.7,78,55,6.7,Fail
5.6,47,45,6.9,Fail
5.0,99,74,8.9,Pass
5.0,63,99,6.3,Pass
4.9,61,38,7.8,Fail
3.8,69,63,7.5,Fail
2.2,87,70,5.9,Fail
4.9,60,95,8.5,Pass
2.8,60,97,3.5,Fail
5.8,83,86,8.5,Pass
3.1,86,62,5.0,Fail
5.1,87,97,5.0,Pass
1.7,59,21,4.9,Fail
5.5,92,96,8.3,Pass
1.7,92,38,6.6,Fail
1.8,55,90,4.8,Fail
5.1,90,65,5.8,Pass
1.8,82,63,7.0,Fail
3.0,35,68,8.1,Fail
2.9,30,60,7.2,Fail
5.3,93,29,7.5,Fail
1.8,63,90,6.0,Fail
3.5,64,95,6.2,Fail
4.3,54,47,7.7,Fail
2.3,60,33,4.2,Fail
5.7,94,79,6.0,Pass
3.1,79,97,7.9,Fail
3.1,34,90,6.2,Fail
3.2,77,31,4.8,Fail
5.4,75,83,5.9,Pass
1.1,81,40,5.1,Fail
5.8,33,44,5.3,Fail
5.9,54,59,4.3,Fail
5.3,46,73,3.8,Fail
2.1,66,74,4.4,Fail
1.7,50,43,5.9,Fail
1.3,89,97,8.7,Fail
2.7,35,55,4.0,Fail
2.4,45,47,5.6,Fail
1.1,74,69,4.4,Fail
3.0,76,20,7.4,Fail
5.6,43,51,3.3,Fail
2.2,67,37,7.2,Fail
4.2,49,57,7.1,Fail
5.1,66,56,3.1,Fail
4.1,55,53,5.7,Fail
1.1,66,28,5.2,Fail
3.6,76,37,7.3,Fail
4.3,37,30,8.6,Fail
5.3,39,90,3.3,Pass
4.0,90,33,3.4,Fail
2.0,32,97,7.4,Fail
2.1,34,63,5.5,Fail
3.1,73,77,5.6,Fail
4.4,67,38,3.4,Fail
2.6,47,54,3.1,Fail
1.1,74,35,8.5,Fail
5.5,90,64,5.3,Pass
1.3,95,53,3.1,Fail
3.0,58,77,7.7,Fail
2.3,85,67,3.2,Fail
3.8,33,95,4.0,Fail
4.9,76,41,4.7,Fail
5.5,57,62,8.1,Fail
4.3,90,38,3.5,Fail
3.8,44,76,3.8,Fail
3.5,35,56,4.5,Fail
5.7,90,30,7.6,Fail
1.2,74,57,7.9,Fail
2.4,99,87,5.5,Fail
5.5,42,71,5.0,Fail
3.9,41,54,5.6,Fail
4.0,65,81,4.5,Pass
2.5,83,26,7.3,Fail
4.4,52,74,3.5,Fail
3.3,39,61,5.4,Fail
3.6,69,71,4.7,Fail
3.2,78,69,3.7,Fail
2.8,85,22,8.0,Fail
1.2,80,77,6.7,Fail
1.6,31,74,3.2,Fail
4.8,68,63,3.9,Fail
2.3,64,70,3.9,Fail
4.2,66,44,3.7,Fail
2.7,46,83,6.3,Fail
4.4,54,81,3.1,Pass
1.7,96,48,6.3,Fail
1.7,49,81,4.9,Fail
5.5,71,36,3.4,Fail
6.0,40,77,4.7,Pass
3.3,96,27,5.2,Fail
2.9,88,42,7.6,Fail
3.9,76,36,7.1,Fail
2.2,72,57,7.2,Fail
4.2,75,80,4.6,Pass
4.3,74,47,3.6,Fail
6.0,44,87,3.3,Pass
4.5,46,84,9.0,Pass
3.6,42,89,7.8,Fail
2.4,34,64,8.9,Fail
1.4,62,55,8.5,Fail
5.3,33,28,4.0,Fail
2.2,88,77,5.2,Fail
2.4,96,86,7.4,Fail
4.4,85,69,5.1,Pass
2.6,85,67,5.0,Fail
2.4,60,27,3.8,Fail
4.8,93,100,5.8,Pass
2.1,39,76,6.4,Fail
2.2,39,65,3.2,Fail
1.6,34,42,4.0,Fail
2.0,64,55,7.2,Fail
1.1,77,52,4.9,Fail
3.5,59,30,3.3,Fail
4.4,42,26,8.4,Fail
3.8,32,33,7.3,Fail
2.7,59,23,8.7,Fail
4.4,64,60,7.6,Fail
3.2,35,53,6.5,Fail
3.6,90,41,6.3,Fail
1.0,40,67,3.3,Fail
4.9,95,88,5.6,Pass
5.2,76,36,8.6,Fail
5.8,66,38,6.3,Fail
3.1,91,45,8.9,Fail
5.3,83,60,4.3,Pass
5.2,75,89,3.9,Pass
5.6,37,80,3.8,Pass
1.9,57,33,4.6,Fail
1.7,70,29,7.1,Fail
1.9,48,57,3.1,Fail
5.8,50,58,6.3,Fail
2.0,66,22,7.0,Fail
1.6,99,75,4.6,Fail
1.7,84,97,7.1,Fail
1.4,67,79,7.0,Fail
1.8,78,49,6.1,Fail
5.4,57,93,6.9,Pass
4.8,39,56,4.3,Fail
4.7,70,84,3.6,Pass
2.7,56,41,3.6,Fail
5.6,83,42,4.7,Fail
4.7,46,52,6.8,Fail
4.6,93,43,4.7,Fail
3.0,88,32,7.3,Fail
2.4,39,54,6.4,Fail
5.1,45,41,7.6,Fail
3.1,38,86,6.0,Fail
6.0,79,79,4.8,Pass
3.8,91,22,6.0,Fail
5.8,54,20,3.8,Fail
2.4,76,67,6.9,Fail
5.2,73,34,8.9,Fail
4.8,66,32,3.8,Fail
5.1,76,23,5.2,Fail
1.4,96,92,5.7,Fail
2.2,98,39,8.8,Fail
3.3,80,78,8.7,Fail
3.5,38,53,6.1,Fail
2.8,61,73,5.9,Fail
1.9,75,78,4.8,Fail
1.1,78,26,7.3,Fail
5.7,53,82,4.3,Pass
4.7,30,79,5.6,Pass
3.3,44,73,5.3,Fail
4.9,92,53,4.0,Fail
4.9,41,26,8.7,Fail
4.3,80,48,5.7,Fail
5.4,69,68,5.4,Fail
1.9,74,61,3.6,Fail
1.1,87,28,6.2,Fail
1.2,58,36,4.9,Fail
3.0,63,24,6.4,Fail
4.0,52,29,4.9,Fail
2.3,87,35,6.7,Fail
3.6,40,29,5.7,Fail
5.7,39,38,5.7,Fail
1.5,93,39,5.0,Fail
4.6,90,66,7.2,Pass
5.7,97,52,5.7,Fail
4.1,30,32,4.5,Fail
4.7,69,97,6.5,Pass
3.0,81,50,8.4,Fail
2.1,34,89,7.1,Fail
3.6,56,90,7.3,Fail
5.4,72,70,4.8,Pass
1.3,74,84,8.5,Fail
3.1,60,87,7.1,Fail
5.8,58,27,8.7,Fail
5.9,61,26,8.9,Fail
3.9,66,79,5.2,Fail
4.4,60,95,7.2,Pass
5.1,62,37,7.7,Fail
1.5,57,70,7.4,Fail
5.5,52,47,3.0,Fail
3.1,85,80,7.0,Fail
4.4,96,82,5.3,Pass
1.5,81,75,7.2,Fail
5.6,38,36,6.3,Fail
1.1,49,45,8.0,Fail
5.1,81,20,5.2,Fail
3.5,72,59,4.4,Fail
3.3,57,52,3.5,Fail
3.4,87,52,8.9,Fail
1.9,39,36,8.8,Fail
4.1,37,61,5.7,Fail
3.6,84,91,8.4,Pass
4.6,56,46,4.8,Fail
5.4,41,37,8.9,Fail
5.6,56,30,3.9,Fail
3.1,94,33,8.1,Fail
4.4,55,90,5.6,Pass
4.6,38,49,8.9,Fail
1.7,38,84,6.3,Fail
3.7,44,40,8.9,Fail
1.6,59,78,8.5,Fail
4.1,31,22,4.0,Fail
3.8,86,76,7.4,Pass
5.5,57,69,3.0,Fail
3.2,82,80,8.2,Fail
5.4,90,45,7.2,Fail
2.1,74,66,3.2,Fail
1.7,57,87,4.6,Fail
1.6,55,94,5.6,Fail
5.8,61,30,4.0,Fail
5.3,78,79,3.4,Pass
2.9,74,54,5.9,Fail
1.5,77,33,6.9,Fail
4.7,73,37,4.1,Fail
5.8,69,66,6.4,Fail
1.5,61,80,8.6,Fail
3.5,74,34,4.9,Fail
2.6,92,22,8.4,Fail
3.6,62,77,4.6,Fail
3.4,51,86,5.4,Fail
5.9,44,60,8.1,Fail
5.3,73,82,8.2,Pass
4.1,37,100,4.0,Pass
1.4,91,49,5.4,Fail
2.9,42,92,8.5,Fail
5.9,75,53,4.0,Fail
4.9,48,71,5.3,Fail
3.3,96,65,3.5,Fail
2.6,35,59,8.6,Fail
5.5,77,83,4.7,Pass
6.0,87,67,8.3,Pass
3.8,52,35,5.5,Fail
2.9,31,96,3.9,Fail
3.6,50,31,6.4,Fail
3.8,71,68,7.0,Pass
2.0,94,36,7.0,Fail
1.3,84,72,3.2,Fail
3.3,100,39,7.0,Fail
1.6,67,91,8.8,Fail
1.1,85,64,6.9,Fail
1.8,47,62,6.1,Fail
2.9,95,24,6.2,Fail
1.5,88,50,6.6,Fail
1.5,51,69,6.7,Fail
1.9,71,91,8.4,Fail
2.8,70,46,6.3,Fail
5.5,30,77,8.7,Pass
2.3,61,23,7.2,Fail
2.2,75,40,6.7,Fail
5.6,51,36,6.5,Fail
5.0,100,83,5.8,Pass
4.2,99,43,6.4,Fail
2.5,72,32,5.8,Fail
5.1,61,61,5.9,Fail
5.9,67,76,6.1,Pass
1.2,70,75,8.8,Fail
2.8,86,84,3.4,Fail
5.2,95,98,5.3,Pass
4.4,44,86,5.3,Pass
5.1,39,75,7.6,Pass
3.3,64,65,6.9,Fail
4.6,31,91,4.7,Pass
2.7,50,78,4.9,Fail
3.5,40,76,4.9,Fail
3.8,79,89,3.1,Pass
5.9,59,82,4.0,Pass
5.6,53,48,3.5,Fail
3.9,51,48,8.2,Fail
3.9,57,31,8.9,Fail
2.6,65,47,8.9,Fail
2.9,86,27,8.3,Fail
1.4,31,98,7.0,Fail
5.9,96,63,7.5,Pass
5.9,90,28,7.7,Fail
2.4,76,32,8.9,Fail
4.4,70,84,8.7,Pass
2.4,60,35,7.6,Fail
3.2,84,69,6.6,Fail
3.9,67,35,6.2,Fail
5.2,44,83,5.2,Pass
5.6,65,92,4.5,Pass
4.3,48,90,4.0,Pass
2.1,85,33,5.7,Fail
4.5,77,97,7.8,Pass
2.2,46,87,8.4,Fail
2.8,69,34,6.4,Fail
2.6,92,78,7.6,Fail
1.8,80,51,9.0,Fail
5.9,73,31,7.3,Fail
3.8,69,22,4.6,Fail
1.6,83,94,7.5,Fail
2.9,35,72,4.0,Fail
5.6,71,60,8.5,Pass
4.3,31,99,5.8,Pass
5.4,61,51,8.5,Fail
3.3,87,80,7.0,Fail
2.9,46,67,5.6,Fail
3.3,80,53,3.1,Fail
3.4,69,75,7.7,Fail
4.8,59,79,8.2,Pass
3.3,94,96,7.2,Fail
4.8,77,74,5.5,Pass
4.5,85,27,7.2,Fail
3.2,42,95,4.2,Fail
2.0,32,24,8.6,Fail
5.6,78,20,6.7,Fail
2.4,63,90,3.3,Fail
2.7,58,66,5.1,Fail
2.3,64,88,4.8,Fail
3.4,37,91,8.2,Fail
5.5,95,69,7.9,Pass
1.6,98,32,7.2,Fail
4.0,63,54,7.5,Fail
2.4,92,58,8.6,Fail
2.6,31,70,4.4,Fail
3.5,70,37,7.4,Fail
2.8,84,95,4.4,Fail
5.0,65,97,5.2,Pass
3.7,49,98,8.9,Fail
4.8,80,67,4.2,Pass
1.8,94,71,8.1,Fail
1.3,81,63,7.5,Fail
2.0,94,41,3.7,Fail
3.4,39,66,7.0,Fail
3.4,54,68,3.9,Fail
4.0,85,46,7.2,Fail
3.1,53,74,6.6,Fail
2.6,32,63,8.3,Fail
4.3,95,49,8.8,Fail
5.1,41,20,5.4,Fail
3.3,41,20,7.5,Fail
4.1,30,47,5.2,Fail
1.3,50,26,8.2,Fail
3.8,30,99,8.9,Fail
5.4,77,31,8.6,Fail
2.8,99,56,3.7,Fail
2.6,90,97,8.9,Fail
5.0,72,41,6.6,Fail
5.3,61,50,7.4,Fail
4.5,49,66,3.4,Fail
2.3,52,43,4.6,Fail
3.2,57,77,7.2,Fail
1.9,100,75,6.7,Fail
3.5,58,100,6.3,Fail
2.5,69,38,6.2,Fail
2.3,33,98,5.6,Fail
2.4,68,44,8.5,Fail
2.0,86,78,3.1,Fail
1.7,77,20,5.4,Fail
2.6,37,38,4.4,Fail
3.8,63,52,5.6,Fail
3.6,35,63,5.5,Fail
6.0,97,66,8.4,Pass
4.7,80,62,4.5,Pass
2.2,88,97,5.0,Fail
4.8,99,69,6.1,Pass
6.0,82,41,7.1,Fail
3.3,34,69,8.6,Fail
4.5,72,78,7.4,Pass
4.0,79,51,8.1,Fail
2.2,81,55,4.8,Fail
4.8,84,73,6.5,Pass
1.2,45,70,7.4,Fail
1.8,52,58,5.6,Fail
5.2,92,66,6.5,Pass
3.4,85,96,3.5,Fail
5.0,33,55,8.3,Fail
6.0,32,22,6.2,Fail
2.1,90,84,5.1,Fail
4.1,82,63,8.5,Pass
3.8,78,36,7.5,Fail
5.1,72,52,5.9,Fail
1.7,70,85,7.0,Fail
1.6,66,44,3.8,Fail
3.3,54,23,5.7,Fail
5.6,81,99,4.1,Pass
3.3,66,70,4.0,Fail
1.9,76,56,6.1,Fail
3.8,54,60,3.7,Fail
2.4,36,20,3.8,Fail
5.0,97,20,4.4,Fail
1.8,39,28,3.8,Fail
4.2,65,88,4.2,Pass
1.9,72,67,8.4,Fail
4.7,61,26,6.0,Fail
2.4,52,84,6.0,Fail
2.4,33,65,8.7,Fail
1.8,83,81,8.0,Fail
2.0,95,27,8.1,Fail
2.4,36,69,3.5,Fail
2.4,85,54,3.6,Fail
2.2,78,25,4.6,Fail
5.0,95,72,8.5,Pass
4.8,43,30,5.7,Fail
2.1,31,73,3.6,Fail
5.1,40,91,8.6,Pass
1.2,67,100,3.1,Fail
5.7,63,89,6.5,Pass
3.5,44,88,8.9,Fail
5.2,72,56,6.2,Fail
1.8,50,59,8.2,Fail
3.5,62,42,8.3,Fail
5.8,56,37,4.0,Fail
4.0,32,31,6.2,Fail
4.2,67,72,3.4,Fail
3.2,41,39,7.7,Fail
4.6,85,63,3.3,Pass
3.6,80,86,3.4,Pass
3.5,76,25,6.9,Fail
4.0,98,81,8.2,Pass
2.9,75,53,6.4,Fail
3.8,84,52,4.8,Fail
4.0,49,48,5.3,Fail
1.0,36,78,4.6,Fail
1.6,61,85,8.7,Fail
4.1,89,99,4.2,Pass
1.2,31,94,6.6,Fail
5.0,62,31,4.4,Fail
5.3,85,37,5.1,Fail
2.4,47,96,7.1,Fail
1.0,60,32,5.7,Fail
4.4,51,78,6.5,Pass
2.3,99,23,5.5,Fail
4.5,38,31,8.9,Fail
1.8,49,57,6.0,Fail
1.7,46,81,7.1,Fail
5.0,52,55,3.5,Fail
3.2,85,39,4.8,Fail
5.4,76,43,7.6,Fail
5.5,54,74,6.6,Fail
2.3,57,95,6.0,Fail
1.7,77,88,3.0,Fail
2.4,60,49,5.2,Fail
6.0,77,58,6.2,Fail
3.6,38,66,8.7,Fail
2.7,71,37,6.2,Fail
3.0,68,73,3.2,Fail
4.5,87,50,5.8,Fail
3.7,45,37,7.8,Fail
2.1,73,55,7.1,Fail
3.7,66,80,7.3,Fail
3.3,95,94,8.2,Fail
1.0,67,58,3.2,Fail
2.3,75,98,5.3,Fail
4.1,41,39,4.1,Fail
1.6,68,25,7.7,Fail
2.4,46,92,6.3,Fail
5.5,99,55,6.0,Fail
4.0,36,28,7.1,Fail
4.5,43,87,5.9,Pass
1.3,62,28,7.0,Fail
4.5,89,56,6.3,Fail
4.4,81,42,7.0,Fail
5.3,33,93,5.1,Pass
2.0,100,47,7.3,Fail
1.4,65,56,6.1,Fail
5.1,77,32,5.3,Fail
3.4,92,44,5.7,Fail
2.9,88,32,8.1,Fail
5.3,62,78,4.8,Pass
2.5,35,79,7.1,Fail
3.6,73,25,5.4,Fail
2.1,71,73,4.8,Fail
2.8,92,88,3.1,Fail
4.1,37,51,8.4,Fail
2.6,43,61,6.5,Fail
1.3,46,74,5.3,Fail
1.3,63,76,5.0,Fail
4.9,65,23,3.5,Fail
2.3,100,56,8.0,Fail
2.0,92,84,4.2,Fail
2.1,71,85,8.5,Fail
3.1,48,72,5.1,Fail
4.0,91,31,3.2,Fail
3.1,48,24,8.0,Fail
5.2,59,92,4.5,Pass
2.0,59,99,5.6,Fail
5.2,95,20,7.9,Fail
5.2,91,89,7.0,Pass
1.2,91,39,6.4,Fail
4.0,57,38,4.2,Fail
2.7,85,34,3.5,Fail
3.3,92,22,3.7,Fail
5.4,78,20,7.4,Fail
1.3,71,53,5.8,Fail
5.5,64,36,5.6,Fail
1.9,65,33,8.9,Fail
4.4,33,26,7.7,Fail
3.6,93,62,7.1,Pass
5.6,72,71,5.4,Pass
4.8,93,43,8.5,Fail
2.4,81,93,5.6,Fail
1.7,85,63,5.9,Fail
5.9,74,28,7.0,Fail
3.4,49,85,8.9,Fail
5.2,90,26,7.5,Fail
3.5,66,23,7.4,Fail
2.7,95,20,6.0,Fail
1.5,30,66,8.6,Fail
4.3,80,78,3.2,Pass
4.7,49,58,8.7,Fail
3.9,37,96,3.1,Fail
5.0,32,60,4.3,Fail
2.7,59,78,3.0,Fail
5.8,35,57,4.8,Fail
1.6,32,41,4.1,Fail
4.2,66,66,6.3,Fail
4.4,67,67,3.5,Fail
4.9,81,54,4.4,Fail
2.9,49,42,6.9,Fail
3.3,100,42,8.4,Fail
